ko,zh-cn
[화염 작렬],[火焰绽裂]
[화이트 매지션],[白色魔法师]
[환각이 담긴 눈동자],[幻视之瞳]
"1.자원 (캐릭터 육성 필수 아이템 등)
2.리소스(아트 리소스, 인적 리소스 등)",资源
1잠금 큐브,锁1晶体
2대대 대장 포공영 단델,2大队队长蒲公英丹德尔
2대대 부관 F.D.C 펜러드,2大队副官潘瑞德
2잠금 큐브,锁2晶体
3대대 대장 아이딘 레이스,3大队队长艾丁·芮斯
4대대 대장 아루즈 레이스,4大队队长阿露莎·蕾斯
8비트 모자,像素头
AI,智能机器人
APG-63,脉冲雷达-63
BBQ,炙烤
CEAB-2,聚能光幕 : 超能爆发
CP,定制点
CTF 실험장,CTF实验场
Ex-S 바이퍼,EX-S毒蛇炮
Ex-S 바이퍼 Zero,EX-S零式毒蛇炮
Ez-10 카운터어택,EZ-10反击者
Ez-8自爆者,EZ-8爆破者
FINALE : 특별한 이야기,终曲 : 霓虹蝶梦
FM-92 mk2 랜서,FM-92榴弹
FM-92 mk2 랜서 SW,FM-92特殊榴弹
FM-92 스팅어 SW,FM-92特殊刺弹炮
FSC-7,集束炸弹
G-38ARG 반응류탄,G-38智能手雷
GBL,蓝色真谛
GBL교 장서관,蓝色真理教藏书馆
G-S.P. 팔콘,G-超级猎鹰
GTA,侠盗手套
GW-16 발트슈타인,GW-16瓦尔德斯坦
HP,生命值
INTRO : 샤인 온 미,开场 : 唯我璀璨
Lv,级
M102-CERM 탄약,M102-强化弹药
MLDRS-95,ML-95火炮发射器
MP,魔法值
MSC-7,中子爆弹
NPC,剧情角色
OP-BOMB,超能爆弹
OP-Pack,超能装置
OP-차지쇼크,超能跃冲装置
Pandora_01,潘多拉1号
R.E.D Kick,虹爆裂踢
RX-트러블메이커,RX-强力冲击
S.O.P.H.I.A,索菲亚
TMH 통신병,卡勒特通信兵
U.F.E 스테이지,U.F.E擂台
UI,界面
가랑비,细雨
가브리엘,加百利
가온,加文
각궁,角弓
각인된 상처의 별,镌刻之迹星辰
각자의 강,独行江
간담회,座谈会
갈증,饥渴
감마 사이클론,伽马旋风
감시자의 마을,监视者村庄
감시자의 염원,监视者的心愿
감전,感电
"감전 지속 시간 증가/감소, 감전 데미지 증가/감소 옵션의 영향을 받습니다.",该属性受感电持续时间增加/减少、 感电伤害增加/减少属性的影响。
강제 팝업창,拍脸
강철용전차,钢铁龙战车
개선,优化
개전 레기온 캐릭터,巴卡妮军团本角色
개전 상급던전 캐릭터,巴卡妮高级本角色
"개전, 바칼 : 개전",开战，巴卡尔 : 开战
거리 공연,街头公演
거미마녀,蜘蛛魔女
건망증,健忘症
건화문,化天门
검객의 유산,剑士的遗产
검공아스카사,黑色恐怖之阿斯特罗斯  宝珠、 斯卡萨
검열 버전,和谐版本
검은 들풀 조합,黑茵协会
검은 들풀 평원,黑茵平原
검은 모살뜸,黑沙浴
검은 비의 플루비아나,黑雨之普鲁维娜
게이지,能量条
격노 : 무한히 증적한 식탐,暴怒 : 无限膨胀的食欲
격노 : 방향을 잃은 갈망,暴怒 : 迷失方向的绝望
격노 : 세상을 탐한 욕구,暴怒 : 贪恋世间的渴求
격노 : 최후에 삼킨 숨결,暴怒 : 吞噬终末的气息
격노 : 파괴를 행한 맹목,暴怒 : 毁灭万物的盲目
격노 융합 방어구,暴怒融合防具
격룡 브루트,激龙布鲁特
견고한 땅의 성단,流水之星团
결속된 영혼,束缚的灵魂
결의의 전쟁 부츠,决意之战靴
결전의 의지,胜负之役意志
경계 문진,梦境之界
경계 위에 선 자,超越两界
경계를 넘어선 차원,超界次元
경계문진-단,梦境之界 - 断
계곡관리자 렐,溪谷管理者芮尔
계곡의 파수꾼 루갈루,溪谷守望者鲁加鲁
계귀,帐号绑定
계시 : 아리아,启示 : 颂歌
계정,账号
계층화,分层
고블 몬스터,幻兽之决
고어 크로스,十字刃
고원의 안개꽃,高原雾花
골드 시세,金价
골드 아나콘다 33mm,金狂蟒 - 33毫米
골든 베릴,金绿柱石
골카,金牌
공간 가르기,切割空间
공격력 증가,攻击强化
공격력 증폭,攻击强化增幅
공대,攻坚队
공어,空骨鱼
공중 연속 베기,空之连刃
"공팟, 공격대",攻坚队
공해(空海),空海
공허의 추락,虚空坠落
공허한 혼창,虚空魂仓
관조의 시종,观测侍从
광란의 축제,狂乱庆典
광룡승천,狂龙升天波
광산 깊은 곳,矿山深处
광장선,广场舰
광폭의 블라슈,怖拉修
광폭화 제어 장치,狂暴控制装置
광폭화된 전의의,怒战之意
광폭화된 전의의 무기,狂暴之意武器
광휘 : 고귀한 사명,光辉 : 崇高的使命
광휘 : 멈출 수 없는 의지,光辉 : 无畏的意志
광휘 : 전해지는 지혜,光辉 : 传承的智慧
괴도 블랑슈네쥬,白雪怪盗
괴리의 저편,乖离的彼岸
괴생풍체,怪妖风魔
괴짜 핀더,怪人芬德
교가,可以交易
교감 : 감싸안는 햇살,灵通 : 暖融阳光
교감 : 공존하는 생명,灵通 : 协同生命
교감 : 내려앉는 이슬,灵通 : 满盈泪珠
교감 : 동행하는 대지,灵通 : 并行大地
교감 : 보호하는 온기,灵通 : 守候温度
교감 융합 방어구,灵通融合防具
교단의 율법에 따라 적을 심판하는 잔혹한 성직자,公正严明， 审判一切有罪之人的坚毅光职者。
교불,无法交易
구름 속의 냐구,云中的尼亚古
구름을 달리는 에스파칼,云中奔跑的埃斯帕卡尔
구름을 삼키는 네뷸라,吞噬云朵的尼比拉
구성품,构成品
구울,墓穴小怪
구원자,救世者
구인난,招人难
국경절 버전,金秋版本
굿맨,古德曼
궁인,弓人
궁인 올드레인,弓匠奥德莱恩
"保底条(安全装置) : 안전장치( 천장)
保底兑换 : 정가",保底
귀부인,贵妇人
귀연참,鬼连击
귀연참 : 극,鬼连击 : 极
균열 안의 장소,裂缝中某处
균형의 중재자,均衡仲裁者
균형의중재자,均衡仲裁者
그늘막만,阴影湾
그늘진 새벽의 별,郁沉之晓星辰
그레이스,格蕾丝
그로기,虚弱
그루브 이펙터,效果器(律)
극복의 무용담,勇者光迹
극복의 무용담,勇者光迹
극복한 자의 증표,制胜者奖章
극성 분열,极性分裂
근위대 세트,赤诚卫士之誓套装
근위대의 맹세 각갑,赤诚卫士之誓战靴
근위대의 맹세 갑주,赤诚卫士之誓胸甲
근위대의 맹세 등불,赤诚卫士之誓的辉光
근위대의 맹세 목 보호대,赤诚卫士之誓护颈
근위대의 맹세 상박갑,赤诚卫士之誓肩甲
근위대의 맹세 수갑,赤诚卫士之誓手镯
근위대의 맹세 요갑,赤诚卫士之誓腰甲
근위대의 맹세 증표,赤诚卫士之誓的印证
근위대의 맹세 지령서,赤诚卫士之誓守则书
근위대의 맹세 충심,赤诚卫士之誓的忠心
근위대의 맹세 하갑,赤诚卫士之誓护腿
금단의 저주,禁术吟咏
금룡 : 무한한 빛의 결계,金龙 : 无限的光之结界
금룡 : 찬란한 용의 비늘,金龙 : 灿烂的龙之鳞
금룡 : 화려한 힘의 기원,金龙 : 华丽的力之源
금호랑,金虎狼
기계 혁명 : 바칼 레이드,机械崛起 : 巴卡尔攻坚战
기록된 빛,太初铭记之光
기류 변환,气流变换
기름지고 비대한 비계,肥腻的巨大肉块
기만을 삼킨 감시탑,吞噬欺瞒的监视塔
기민한 움직임,敏捷的动作
기분 전환,情绪调动
기어 드라이브,装置驱动
기어 드라이브 : 네뷸라,装置驱动 : 星云
기어 부스터,弹射加速
기어 업그레이드!,装置升级
기어워크 N2 - 오스틴 7,啮齿N2 - 奥斯丁
기억 왜곡,记忆扭曲
"기억과 안개의 신, 무",记忆与雾之神——雾
기억으로 새겨진 별자리,铭刻记忆之星尘
기억을 담는 그릇,五行之忆容器
기억의 도서관,记忆图书馆
기억의 도서관 지기 (Librarian at Library of Memory),记忆图书馆管理员
기억의 성단,梦境星团
기억의 성단 발현/변경,梦境星团赋灵/变更
기억의 종착지,记忆之终末地
"기자, 나르샤",记者纳夏
길로틴,镰勾旋击
깨무는 머랭,棉花般的梅灵
깨우침의 봉우리,领悟之峰
꿈 속의 위협,梦中威胁
꿈결 현상,梦境幻象
꿈꾸는 아이의 소원 세트,眠梦中的祈愿 套装
꿈꾸는 트릴로지,梦幻三重奏
나달,土族
나락 떨구기,追袭
나벨,纳波尔
나부,纳芙
나스트론드,纳斯特隆德
나아가려는 자의 마음 세트,冲锋前线之守卫 套装
나이트 허브,黑暗香草
난장,乱场
날카로운 단검,潜行之匕首精通
남달급,蓝月级
내 마음은 루바토,自由律动
내딛는 자들,迈出脚步者
내면의 경계선,内心的边界线
내재된 분노,蕴含之怒
내추럴 매드니스,纯粹盛怒
냉기에 갇힌 원망,冰封的怨恨
냐구,尼亚古
너울,水族
네오플,NP
네임드,稀有怪
넥 디바이더,撕裂
넥 펀처,妖刺结阵
"노가다, 광부",搬砖
노동절,耕耘
노블레스 코드 : 더스크,贵族机要 : 暮色
논의,商讨
"놓치지마, 팔케!",帕伊卡锐眼
뇌광 : 낙뢰를 내린 용각,雷光 : 呼唤落雷的龙角
뇌광 : 번개를 담은 용린,雷光 : 覆载奔雷的龙鳞
뇌광 : 벼락을 감은 용조,雷光 : 踏足轰雷的龙爪
뇌광 : 우레를 감싼 용익,雷光 : 拥抱沉雷的龙翼
뇌광 : 천둥을 품은 용심,雷光 : 汇聚天雷的龙心
뇌광 융합 방어구,雷光融合防具
눈 속에 묻힌 기억,埋在雪中的记忆
눈부신 겨울의 축복,玄冬的祝福
눈부신 기억의 조각,耀眼的记忆碎片
늘어져 처진 몸통,垂落之躯
늙은 마법사 (Old Mage),年迈魔法师
다 카포,复唱开始
다디달늪,甜品沼泽
다크 크로스,黑暗十字刃
단검투척,绝境飞刃
단계,阶段
단공참,三段刃
단편의 기억,记忆落痕
달 사냥꾼,猎月者
달빛 주점,月光咖啡馆
달이 잠긴 호수,沉月之湖
달콤한 칸타빌레,甜蜜柔歌
달콤한 향기의 속삭임,甜蜜芬芳的低语
닷지,dodge
대강하,急下降
대룡저격소총 ADO-22,巨龙狙击枪
대류 : 몰아치기 전의 고요함,对流 : 山雨欲来
대류 : 변덕스러운 흐름,对流 : 变幻莫测
대류 : 제어할 수 없는 돌풍,对流 : 呼啸疾风
대류 : 주어진 바람의 무게,对流 : 闻风而动
대류 : 휩쓸려 지나간 흔적,对流 : 风卷残云
대마법사 마이어,大魔法师玛尔
대마법사의 차원회랑,大魔法师的次元回廊
대지 : 바스러지는 발걸음,大地 : 破碎步履
대지 : 삶과 죽음의 교차,大地 : 生与死之际
대지 : 생명이 돋아나는 땅,大地 : 生机乐土
대지 : 죽음이 내려앉는 시간,大地 : 寂灭降临之刻
대지 : 피어나는 계절,大地 : 开花时节
대지의 기운,大地之息
대형 크로스 슈터,巨弩
던전앤라이프,地下城与生活
"던전앤파이터, 던파",地下城与勇士
던파,DNF
던파로ON,DNF ON
던페,DNF嘉年华
데드리프트,浮空连击
데들리 케이프,暗影囚笼
데보닝 슬래셔,无尽毁灭
데스 매치 존,死亡比赛场
데스 사이드,魔镰之舞
데스티니 퍼펫,疯狂召唤
데스플레임,死亡之焰
데우스 엑스 레이,罚罪之光
데이,黛伊
도리스,多莉丝
도망자 소나,逃亡者素娜
도망친 노예,出逃的奴隶
독을 먹는 프로다스,噬毒之普罗达斯
독이 스며든 바위 세트,毒瘴之渊 套装
독충 쫓기,驱虫烈火
돋아나는 뿔의 샤이안,巨角夏安
돌파한 자의 증표,先锋者奖章
동돌,金族
동향,舆情
두 자루의 총을 사용하는 천계인,生活在天界的神枪手，\n是善于利用枪械压制敌人的战士。
두더지 사냥,隐鼠之袭
둠스가디언,末日守卫者
둠스데이,末日狂战
뒤집힌 멸망의 세계,覆亡的世界
뒤쫓는자 제논,追踪者泽侬
드랍 더 비트,调音放送
드래곤 슬레이어,屠龙者
드러나는 진실,浮出水面的真相
드러머 바라,鼓手芭拉
드리머 (Dreamer),织梦者(Dreamer)
들어야 할 진실,必须倾听的真相
들에,鹿野
들풀 시내,茵溪
등록,放入
등빛다님길,灯火之路
등장,出场
디리암 올드레인,迪利安·奥德莱恩
디바우러,幻妖之噬
디버프,减益
디자인,精巧装扮
디톡스,D-talks
딜러,输出职业
딜러난,C荒
따뜻한 봄날의 별,蕴暖之春星辰
따뜻한 봄의 축복,暖春的祝福
땅을 파는 몰디그,挖掘之王莫尔迪格
땅지기 슈므,地界镇护者舒茉
땅지기의 서약,地界镇护者的誓约
뜻밖의 도움,意料之外的援手
라빈 슈뤼즈의 거처,拉宾·修琉斯的住所
라이브 디렉터,运营总监
라이브 서버,正式服
라이브 서비스,运营服务
라이징 문설트,翻月翔击
라이트 허브,光明香草
래티족,莱蒂族
랜덤 음표 입력,输入随机音符
랜디네이크,兰迪内克
램페이저,狂怒冥神
램페이지,盛怒狂潮
러블리 템포,可爱节拍
럭키 크레센도,音量顶峰
럭키 크레셴도,音量顶峰
레드 래빗,红兔
레미디아 바실리카,雷米迪亚大殿堂
레미디아 바실리카 고해소,雷米迪亚大殿堂告解所
레벨 적정 던전,推荐地下城
레어 클론 아바타 세트,稀有克隆装扮套装
레이지 모드,燃斗模式
레전더리,传说
로그의 가죽 마스터리,暗星皮甲专精
로얄 패스 캐릭터,尊享通行证角色
로열 패스,尊享通行券
로자 유르겐,洛莎·尤尔根
로절린드,罗莎琳
롤링 러쉬,粉碎回旋击
롤링봄,滚动臂
루드밀라 비요르,露德米拉·比洛尔
룩딸러,暖暖
리디머,拯救者
리벤저,心灵反击
리틀플레임,小火焰
리플레이,重播
린클레이터,林克雷特
마계의 끝,魔界的终焉
"마궁전, 미앙마궁전",云上长安战未央
마나 실드,低生命值
마나 오버플로우,魔力溢出
마담 고블린,哥布林夫人
마도학자의 연구소,魔道学者的研究所
마들렌,玛德琳
마엘스트롬,暴风漩涡
마왕성,魔王城
마일란,米岚
마일란 릿,米岚·利特
마지막 불의 숨결 : 무기,焚烬龙焰武器
마흐나발,玛赫纳瓦
만무식적,万雾息笛
만물의 정점,万物巅峰
맑은 정신,明晰知觉
망각의 마석,遗忘魔石
망자의 원한,复苏者之怨
망자의 집념,复苏者之缚
매뉴얼 클러치,手动操作模式
매시브 피어서,重型穿甲箭
매출,营收
맹렬한 불길,猛烈火焰
먹구름 누각,雾中楼阁
멈추어진 지식,知海沉舟
멈추지 않는 순례의 기록,巡礼征战之录
멈추지 않는 순례의 흔적,巡礼命魂之痕
멈추지 않는 질주,永不停歇的疾驰
멈추지 않는질주,永不停歇之步伐
메아리치는 화염,呼啸火焰
메이 스피리티아,梅伊·斯匹莉缇娅
메이븐,权威猎神
메테오리아,陨星
멘데스,门德斯
멸망의 안식처,毁灭的安息处
멸절의 폭룡왕 바칼 카드,绝灭之爆龙王巴卡尔  卡片
멸진당,灭尽堂
모리,莫利
모살뜸 해변 마을,沙浴海滨小镇
모색청연(暮色淸然),暮色清然
모한,摩汉
모험단 서클,冒险团小组
몬스터 파이터즈,怪物对决
몰아치는 전류의 흐름 세트,酷烈电流 套装
무결한 마음,无瑕之心
무기력,无精打采
무기상 오스카,军备商奥斯卡
무너진 기억의 도서관,崩塌的记忆图书馆
무너진 세계의 틈,临界崩坏之隙
무녀,驱魔师(女)
무릎 보호대,护膝
무상의 스톤 슬램,无相巨石兽
무스,摩兹
무용담,勇者光迹
무용담 교환,光迹兑换
무의  뉨터,雾之寝殿
무의 눈,雾之眼
무의 눈 신도 데아,雾之眼追随者德亚
무의 자리,雾之座
무의식의 테르미누스,无意识之忒耳弥努斯
무적자 유진,无归者佑真
무지한 영역의 통로,无知领域通道
무척급,巨人级
무한한 가능성의 탐구,无限可能性的探求
무한한 가능성의 흐름,无限可能性的流动
무한한 가능성의 흔적,无限可能性的痕迹
무한한 영감,无限的灵感
무회,无悔之思
"문의 주인, 카론(Charon the Gatekeeper)",门之主人·卡隆
문지기 카론,守门人卡隆
물리/마법 피해 감소 +%%,物理/魔法所受伤害 -%%
물안개 광장,水雾广场
물폭탄,水弹
물프레군도,浮萍群岛
뮤즈,缪斯
미광의 부유석,微光悬浮石
미스터 발렌타인,瓦伦蒂先生
미스트 기어 장비,星辰百变装备
미스트 락킹 퍼실리티,迷雾锁定设施
미스트 버스트,迷雾爆裂
미스트 코어,雾核
미스트 펑크,迷雾朋克
미스트리스,除恶者
미앙감마전,云上长安战未央
미완의 경계문진,梦境之界原阵
미지 속 생명체의 기록,未知征战之录
미지 속 생명체의 흔적,未知命魂之痕
미지의 골격 링,未知之骨戒指
미지의 관절 신발,未知关节鞋
미지의 근섬유 상의,未知肌纤维上衣
미지의 금속 각반,未知金属绑腿
미지의 기계 장치 벨트,未知机甲腰带
미지의 눈동자 네클리스,未知之瞳项链
미지의 바이탈 시그널,未知之灵信号
미지의 보석 숄더,未知宝石肩甲
미지의 비늘 암릿,未知鳞片手镯
미지의 세계의 균형,未知世界的均衡
미지의 에너지 스피어,未知之能战矛
미지의 파워 사이드,未知之力战镰
미코,雾核
"바닷길, 보라해로",海上之路 : 紫海通路
바람 부는 언덕,风之丘
바람 질주,乘风疾驰
바람길,风之路
바랗급,海洋级
바래지 않는 충정의 근위대 세트,赤诚卫士之誓套装
바실리카 성당,雷米迪亚殿堂
바칼 용합,巴卡尔贴膜
바칼 입장컷 캐릭터,巴卡尔门槛角色
반격 시스템,反击系统
반짝이는 금속의 성단,雷电之星团
반추하는 세계,溯忆之界
발리스타,投石器
발리언트 크로웰,巴里恩特·克劳威尔
발트슈타인 실험장,瓦尔·德斯坦实验室
밤과 꿈,夜与梦
배신자의 저택,背叛者宅邸
배틀메이지의 무기 마스터리,战斗法师武器精通
배후습격,潜行之心
백금의 행운 엘리브,幸运白金·艾利芙
백목,白木
백전노장의 기록,沉沙征战之录
백전노장의 흔적,沉沙命魂之痕
백해의 하늘,白海之空
밴드 하모니,和茉霓乐队
뱀파이어,赤狱伯爵
뱀파이어 로드,赤狱君主
뱃나비섬,舟栖岛
버드나,绿叶精灵
버려진 영지,废弃领地
버려진 황야,废弃荒原
버스트 퓨리,狂气爆发
버전,版本
버퍼,辅助职业
버퍼난,奶荒
버프력,增益量
번뜩이는 스키이브레이크,闪耀之斯凯布雷克
베니,贝尼
베르너,维尔纳
베아티,贝亚蒂
베이마,贝默亚
베이시스트 에일라,贝斯手艾伊洛
베일드 어택,潜行之袭
베테랑 헌터의 훈장,追猎者勋章
베히마,贝希摩
벨리스 마을,贝利斯村
벨리스 인근,贝利斯近郊
벼리,火族
벽사옥,辟邪玉
변경,变更
변환,变换
별무리록,星群录
별자리 거북,星座灵龟
별지기 성좌 관측,星座观测
별지기 탐험 수첩,星座探险手册
보늬반디의 호수,袋萤湖
보디가드 레인,保镖莱因
보석술사툴리체,宝石术士特里切
보스,领主
보스-격노한 진룡 이트레녹,领主 - 狂怒之真龙利特雷诺
보스-광휘의 금룡 느마우그,领主 - 辉光之金龙雷纳克
보스-작열의 화룡 애쉬코어,领主 - 炽炎之火龙艾斯库尔
보스-절규하는 흑룡 네이저,领主 - 绝影之黑龙奈伊泽
보이지 않는 뿌리,隐形的根基
보이지 않는 손,看不见的手
보호를 담은 괴,蕴含保护的怪物
복귀,回流
복수의 가시,黑暗之刺
볼트 레인,箭雨
볼트 스콜,弩之骸
봄이와,春花精灵
봉인된 미스트 기어,星辰百变装备兑换券
부동의 연못,永滞之湖
부메랑 커터,回旋刃
부스트 모드,超速模式
부여된 야성,野性愈烈
부유등,悬浮灯
부캐,小号
부화하는 악령의 씨앗,孵化的恶意之种
분기암경파,释影暗劲波
분신 세례,焚身洗礼
불경한 자들의 저울,不敬者的天平
불길 위의 생존자 세트,烈焰灼痕 套装
불꽃의 기운,火花之息
불꽃의 의지,火花的意志
불멸의 기억,不灭之忆
불사 연구자의 은신처,不死研究者的藏身处
불스아이,追袭逐影丝
불신위괴,无信妄妖
불신의 눈,不信之眼
불운의 포르스,厄运之弗瑞斯
불의 숨결 큐브,龙焰晶体
불타는 고난의 별,浴火之厄星辰
붉은 달의 사냥터,红月狂狩之地
붉은 태양의 운명,红日之命运
브랜드 뉴,崭新曲风
브롱크스의 황무지,博隆克斯的荒地
브림,布里穆
블랙 로즈단,黑玫瑰特种战队
블랙아웃,暗黑扩张
블러드 메이지,猩红法师
블러드 번,赤红燃烧
블러드 소드,爆发之刃
블러드 스내치,狂怒暴掠
블러드 이블,帝魔焚天
블러디 스파이크,回闪劫击
블러디 카니발,绯红盛宴
블레이드 스톰,灭袭乱舞
블루 노트,蓝调
블루 베릴 네클레스,蓝灵绿玉石项链
블루 베릴 링,蓝灵绿玉石戒指
블루 베릴 벨트,蓝灵绿玉石腰带
블루 베릴 보호대,蓝灵绿玉石肩甲
블루 베릴 부츠,蓝灵绿玉石长靴
블루 베릴 아머,蓝灵绿玉石胸甲
블루 베릴 암릿,蓝灵绿玉石手镯
블루 베릴 이어링,蓝灵绿玉石耳环
블루 베릴 젬스톤,蓝灵绿玉石宝石
블루 베릴 퍼퓸,蓝灵绿玉石香水
블루 베릴 하의,蓝灵绿玉石护腿
블루 베히모스,蓝鲸
블루 파이렛 벨트,海湾侠踪腰带
블루 파이렛 부츠,海湾侠踪短靴
블루 파이렛 블라우스,海湾侠踪衬衫
블루 파이렛 숄더,海湾侠踪护肩
블루 파이렛 이어링,海湾侠踪耳环
블루 파이렛 쥬얼,海湾侠踪宝石
블루 파이렛 팬츠,海湾侠踪长裤
블루 파이렛 프로텍터,海湾侠踪保护器
블루호크 선장 버디,蓝鹰船长巴蒂
블루호크의 행선지,蓝鹰的目的地
비공요새 솔리다리스,空中要塞——索利达里斯
비밀의 탐구가,秘密探索者
비비,布比
비비드,动感音符
비셔스 래리어트,极恶飞锁
비시마,比希玛
비틀린 마을,扭曲的村庄
비행단,飞行团
비활성화,熄灭
빈틈 찌르기,凌跃一击
빌드,BD、配装
빙화 : 가혹한 한기,冰花 : 残酷寒意
빙화 : 살에는 빙설,冰花 : 永恒冰雪
빙화 : 얽히는 서리,冰花 : 萦绕冰霜
빙화 : 펼쳐진 동토,冰花 : 辽阔冻土
빙화 : 피어난 꽃잎,冰花 : 绽放花瓣
빙화 융합 방어구,冰花融合防具
빛 푸름 강화 물약,幽碧强化药水
빛 푸름 빛무리,幽碧光束
빛 푸름 신수,幽碧神兽
빛 푸름 주화,幽碧硬币
빛 푸름 초원,幽碧草原
빛 푸름 치유 물약,幽碧治疗药水
빛 푸름 폭포,幽碧瀑布
빛나는 다이앤,闪亮之狄安娜
빛바랜 금주고,褪色的褚金库
빛의 마을,光之村庄
빛의 변주,辉光变奏
빛의 복수,光之正义
빛의 여인(The Woman Of Light),光之女
빛의 탐구자,光明探索者
빛푸름 골짜기 정화록,幽碧之峡净化录
빛푸름 별지기,幽碧星座卫士
"빠르게, 고통 없이",痛快赐予
빨간코 개구리,红鼻蛙
"빼앗긴 땅, 이스핀즈",失落之地 : 伊斯大陆
뿔 사슴 조합,角鹿协会
뿔 사슴 평야,角鹿平原
뿔 화살,角矢
사계의 축복,四季的祝福
사냥감 식별,猎物识别
사냥을 시작해볼까!,狩猎开始
사라 웨인,飒拉·维恩
사라도,萨拉岛
사령,复苏者
사령술사,黑夜术士
사멸하는 신뢰의,寂灭之信
사멸하는 신뢰의 무기,寂灭之信武器
사방의 분열된 기운,分裂的四方龙息
사방의 융합된 기운,融合的四方龙息
사벨리,沙维利
사슴 과일,鹿果
사신의 함정,死神的陷阱
사운드 오브 뮤즈,缪斯之声
사이드 매서커,终结战镰
사이킥 아이돌,精神偶像
사제,礼官
사좌천태문,四左天泰门
사투의 옥,恶斗之狱
사형선고,判处极刑
살기감지,绝对感知
살다믐섬,浅浸岛
살육난무,狂野乱舞
살의의 파동,无尽波动
삼재검,三才剑
삼천세계 - 멸,三千世界 - 灭
삼키는 미믹크,吞噬之迷米科
상공인협의회,商工人协商会
"상급 던전, 상던",高级地下城
상반기,H1
상승,提升
상자,礼盒
상태이상 전문가,异常状态专家
상황판,战况板
새로운 시간의 끝,新的时间尽头
새하얀 눈의 성단,白雪之星团
생명으로 빚어낸 마력 세트,生命浇筑之力 套装
섀도우 댄싱,潜行领域
서고,书库
서늘한 바람의 성단,清风之星团
서리에 묻힌 분노,雪封的愤怒
서바이벌,野外生存
선각자브루머,先觉者布鲁默
선장선,船长舰
설경 : 고요한 단말마,雪境 : 寂静之遗言
설경 : 남겨지지 않는 발자국,雪境 : 瞬逝之足迹
설경 : 스며드는 한기,雪境 : 刺骨之寒气
설경 : 얼어붙는 감각,雪境 : 冷意之伤痕
설경 : 정할 수 없는 운명,雪境 : 未定之命运
성단 복원,星团点亮
성염의 쇄도,神焰疾降
세계가 담긴 축,世界的中心轴
세계수 신전,世界树神殿
세계의 경계,世界的边界
세라,点券
세라샵,商城
세라핌,炽天使
세미아니,塞米亚尼
세컨드 부스트,二重助推
세트,套装
