ko,zh_cn
리안,瑞安
리야미슈,里亚米苏
리에드 섬,里埃岛
리젠티,莉贞提
리젤라 에오,里洁拉·埃欧
리하르트,利哈罗特
릭쿤,里克昆
린치 농장,林兹农场
린치 농장 폐허,林兹农场废墟
린치 목장,林兹牧场
마고,玛格
마고리아,玛格里亚
마녀의 예배당,魔女的教拜殿
마라크 농장,玛拉克农场
마르니,玛勒尼
마르니 농장 폐허,玛勒尼农场废墟
마르니 동굴길,玛勒尼洞穴路
마르니 제 2 실험터,玛勒尼第2实验地
마르니의 실험터,玛勒尼的实验地
마르시니,玛勒希妮
마르차 전초기지,玛勒察前哨站
마르카 섬,玛勒卡岛
마르크스,玛勒克斯
마르타,玛勒塔
마르타 키옌,玛勒塔·琴恩
마를레느 섬,玛鲁雷斯岛
마리 동굴,玛丽洞穴
마리노 농장,玛里诺农场
마리노 농장 창고,玛里诺农场仓库
마리베노 섬,马里贝诺岛
마리울 섬,玛利乌尔岛
마못용병단대장,马莫佣兵团队长
마법사의 제단,魔法师祭坛
마스란,玛斯兰
마에스티오,马耶斯提奥
마이어스,麦尔斯
마치오,玛奇奥
마크타난,马克塔楠
마후나,马胡纳
만두르,曼斗乐
만샤 숲,蔓沙之森
만샤움 숲,蔓沙姆森林
메기맨 캠프,鲶鱼人营地
메디아,梅迪亚
메디아 북부 고원,梅迪亚北部高原
메디아 북부 관문,梅迪亚北部关口
메디아 성,梅迪亚城
메디아 해안,梅迪亚海岸
메를리온,梅勒利温
메리오,梅利奥
메타키오,梅塔奇奥
모드릭 섬,莫德里岛
모래알 바자르,沙粒巴扎勒
모레티 거대 농장,莫勒提巨大农场
모리츠,莫里茨
모멘누아,摩埃努亚
모아 바론,摩亚·巴伦
모흘고,莫亨尔戈
몬테네,蒙铁奈
몰리베리,茉莉贝里
몽무니아,蒙慕尼亚
몽쥬르 아이넬,蒙珠勒·艾奈尔
무아디아,穆阿迪亚
무이쿤,穆亦肯
물텀벙 마을,水当当村
뭉크바트,孟克巴特
뭉크체그,孟克杰格
뮤리제르,缪力杰勒
뮬리스,谬里斯
미루목 유적지,米路慕遗址
미야,弥亚
바다빈 해역,虚空海域
바라테르 섬,巴莱特勒岛
바람깃 봉우리,风之羽山峰
바레미 섬,巴雷米岛
바르한,巴鲁汉
바르한 관문,巴鲁汉关口
바르한 네세르,巴鲁汉·奈希勒
바브가이,帕博盖依
바실리스크 소굴,蛇怪巢穴
바심족 주둔지,巴西恩族营地
바아,巴尔
바야르마,巴亚勒玛
바야반디,巴亚班迪
바얀,拔亚恩
바에자 섬,巴艾加岛
바윗돌 초소,岩石岗哨
바이라,拜依拉
바인 농장지,巴因农场地
바자르 경작지,巴扎勒耕地
바탈리 농장,巴特利农场
바투,巴图
바투르닐,巴图勒尼尔
바히트 성소,巴希特圣所
발레노스,巴雷诺斯
발레노스 강,巴雷诺斯江
발레노스 만,巴雷诺斯湾
발레노스 산맥,巴雷诺斯山脉
발레노스 숲,巴雷诺斯森林
발레노스강 어귀,巴雷诺斯江口
발렌시아,瓦伦西亚
발렌시아 대농장,瓦伦西亚大农场
발렌시아 서부 고원,瓦伦西亚西部高原
발렌시아 성,瓦伦西亚城
발렌시아 성터,瓦伦西亚城址
발베쥬 섬,巴贝兹岛
발타라 산맥,瓦沓拉山脉
발타라 서부 산맥,瓦沓拉西部山脉
밤 까마귀 초소,夜鸦岗哨
밤부 골짜기,庞姆夫山谷
방랑도적 소굴,流浪猎者巢穴
방랑의 길,流浪之路
버려진 수도원,被遗弃的修行院
버려진 채굴장,被遗弃的采矿场
버림받은 땅,被遗弃之地
버트 베드마운틴,波特·贝德蒙特
벌목장 쉼터,伐木场休息处
베니투,贝尼图
베디오,贝迪奥
베르니안토 농장,贝勒尼安特农场
베르다오,贝勒达奥
베르티의 양수,贝勒提的水盆
베아트리스,贝雅特里斯
베어 마을,拜尔村
베어강 수원지,拜尔江水源地
베어강 하류,拜尔江下游
베이루와 섬,贝卢瓦岛
베이브 릭사,贝普·力克沙
베일에 싸인 미궁,神秘的迷宫
벤,班恩
벤 첼올라,班恩·契奥拉
벨로안,拜罗安
벨리아 납골당,贝尔利亚灵骨堂
벨리아 마을,贝尔利亚村
벨지오,佩基奥
별무덤,繁星之墓
병사의 무덤,士兵之墓
보누아,宝努儿
보아 섬,宝雅岛
볼라 아르킨,博拉·阿勒金
볼로나,波洛纳
볼트,波特
봉화대 입구 초소,烽火台入口岗哨
부리 빠진 까마귀,缺嘴乌鸦
부패의 협곡,腐败峡谷
북 카이아 나루,北卡亚渡口
북 카이아 호수,北卡亚之湖
북 카이아산 정상,北卡亚山顶
북부 경비캠프,北部警备营
북부 나가 습지,北部纳迦沼泽
북부 모래 언덕,北部沙丘
북부 밀농장,北部小麦农场
북부 중립 지역,北部中立地区
북부 포건 습지,北部普根沼泽
북쪽 늪지대,北边沼泽
붉은 독거미,火红毒蜘蛛
붉은 전장,红色战场
붉은늑대 부락,红沃夫兽部落
브레디 요새,布雷迪要塞
브렐린 농장,布列林农场
브롤리나 오네트,布洛利娜·奥纳特
브리 나무 유적지,布雷树遗址
비가나,比加纳
비라기 산채,菲拉吉山寨
비밀 자이언트,秘密捷特巨人
비비쉬,比比西
비아핀,比亚芬
비앙카 트리스,毕昂卡·特利斯
비얌바,毕亚恩伯
비오렌치아 오도어,维奥林迪·奥德
빅터,毕托
빕 포레타 산장,碧·波雷塔山庄
사랑게헬,沙朗杰赫
사르마 기지,萨尔玛基地
사마엘라,萨马埃拉
사막 나가 성전,沙漠纳迦圣殿
사말라 엘샤,莎麦拉·艾莎
사우닐 전장,蜥蜴人战场
사우닐 캠프,蜥蜴人营地
산 마리노,诗万·玛里诺
산샤르,珊莎勒
산양 마루,山角羊山脊
산채 사잇길,山庄岔路
산토즈,桑托兹
살라나르,萨拉纳尔
살라나르 못,萨拉纳尔池塘
살룬의 경계,莎伦的边境
상아 황무지,象牙荒芜地
새벽 안개 초소,晨雾岗哨
생각이 잠든 묘,尘念之墓
샤르보노,夏勒布诺
샤른,沙纶
샤미히,莎米希
샤샤 섬,莎莎岛
샤카투,夏卡鲁
샤카투 경작지,夏卡鲁耕地
샤카투 폐 나루터,夏卡鲁废弃渡口
샤피오,夏皮奥
샨티,西恩堤
샬리오,沙里奥
서남부 관문,西南部关口
서부 경비캠프,西部警备营
서부 관문,西部关口
서부 절벽,西部绝壁
서북부 관문,西北部关口
세라푸,瑟拉普
세라흐,塞拉赫
세렌디아,塞林迪亚
세렌디아 남부 평원,塞林迪亚南部平原
세렌디아 북부 평원,塞林迪亚北部平原
세렌디아 서부 관문,塞林迪亚西部关口
세렌디아 신전,塞林迪亚神祭之殿
세르카 섬,西路卡岛
세리오,瑟利奥
세크레타,谢克蕾塔
세페르 오도어,塞佩尔·奥德
셰라나,赛拉娜
셰레칸 폐철광산,谢勒汗废弃矿山
셰레칸의 묘,谢勒汗之墓
셰르엄 리키,谢鲁恩·利吉
셰페,谢佩
소산 선착장,苏扇码头
소산 주둔지,苏扇营地
소식꾼 수인,情报员兽人
소야,苏雅
소코타 섬,索寇塔岛
솔라레의 대리인 쏠,索拉雷的代理人索尔
솔라비오,索拉比奥
솔롱가,索隆加
쇼칸,肖坎
수도 발렌시아,首都瓦伦西亚
수도원 수원지,修行院水源地
순교자의 안식처,殉教者的安身处
슈라트,苏拉特
슈리 농장,苏利农场
슈카,苏卡
슈파라,苏帕拉
슈피오,苏皮奥
스타렌 섬,斯泰蓝岛
스티비오,史提皮奥
슬라이,瑟莱因
시간의 오아시스,时间的绿洲
시나트라,西纳特拉
시르나 섬,薛纳岛
시르카,西尔卡
시리 첼루아,西莉·契鲁雅
시아니,西亚倪
시오닐 섬,西奥尼岛
시카,希卡
시카리오,希卡里奥
실험체,实验体
아그리스 제단,阿戈里斯祭坛
아그리스 초원,阿戈里斯草原
아낙스,阿洛斯
아라킬 섬,阿拉吉尔岛
아레델,阿蕾戴尔
아레하 야자숲,奥雷哈椰子森林
아레하자 마을,奥雷哈扎村
아로와즈,亚罗瓦兹
아루티하,阿鲁提哈
아르넬리아,阿勒奈拉
아르치피오,阿勒琪波
아르튀르,阿勒图勒
아리엔,阿里恩
아리타 섬,阿利塔岛
아마린,阿玛琳
아맘,亚曼
아분 마을,亚凡村
아사나,阿萨那
아술라 고원,阿苏拉高原
아이리스 협곡,艾里斯峡谷
아이바,艾帕
아이젠,艾贞
아젤린,阿洁林
아지르 섬,阿兹鲁岛
아침의 나라,晨曦之国
아카이오,阿卡伊欧
아칸바야르,阿肯巴勒
아케니시,阿凯尼西
아케르 경비 초소,阿恺鲁警卫岗哨
아케르 남부 캠프,阿恺鲁南部营地
아케르 서부 캠프,阿恺鲁西部营地
아쿰,阿坤
아쿰 바위산,阿坤岩石山
아크만,亚克曼
아크만 사원,亚克曼寺庙
아타니스 못,阿塔尼斯池塘
아토 농장,阿特农场
아투이 발락스,阿特亦·巴洛斯
아홉 별의 올룬,九星的奥伦
아히브 분쟁지역,阿希弗纷争地区
안나모르,安纳莫勒
안카도 내항,安卡杜内港
안카도 해안,安卡杜海岸
안투 니카,安图·尼卡
알 룬디,阿尔·伦迪
알나하 섬,艾纳哈岛
알레한드로 농장,爱德罗农场
알룸바위 계곡,艾鲁姆岩石山谷
알리루나,阿利鲁纳
알마이 섬,阿麦岛
알바로,埃布罗
알브레서 섬,阿波雷斯岛
알타스 경작지,阿塔思耕地
알탄,亚尔潭
알티노바,阿提诺瓦
알티노바 관문,阿提诺瓦关口
알티노바 입구,阿提诺瓦入口
앙쥬 섬,洋朱岛
애화저 언덕,艾华兹丘陵
야만족 노예 관리소장,野蛮族奴仆管理所长
야무,亚姆
야스쿠민,亚斯库民
야즈,雅思
약탈의 숲,哥布林之森
얀후나,雅胡娜
얄트 협곡,亚尔特峡谷
에네,艾妮
에단,艾丹
에르달 농장,艾伦达农场
에르덴,艾勒登
에르바,艾勒帕
에버딘 섬,艾波迪恩岛
에베토 섬,艾贝特岛
에스파 섬,艾史帕岛
에시미리,耶希米莉
에이다,艾伊达
에이마그,艾马克
에이블린,艾芙琳
에일린,艾尔琳
에페리아 계곡,艾裴里亚山谷
에페리아 고개,艾裴里亚山岭
에페리아 초소,艾裴里亚岗哨
에페리아 항구 마을,艾裴里亚港口村
에프데 룬 섬,艾普戴伦岛
엔트 숲,安特之森
엘다 농장,埃达农场
엘레나 카닌,艾蕾娜·卡妮
엘릭 사원,艾力克寺庙
엘반,艾尔班
엠마,艾玛
연화,莲花
오기에르 강,奥奇艾勒江
오델,奥德尔
오드,奥德
오드라,奥德拉
오드락시아,奥德罗西亚
오딜리타,奥代利塔
오르갈리시,奥勒盖希
오르노아,奥勒诺亚
오르도,奥路杜
오르프스 섬,奥鲁普斯岛
오리샤 섬,奥利沙岛
오마르 용암 동굴,奥玛勒熔岩洞穴
오베렌 농장,奥贝雷农场
오벤 섬,奥波恩岛
오솔르,欧设勒
오스트라 섬,奥斯特拉岛
오염된 농장지,被污染的农场地
오제 고개,奥杰山岭
오제의 집,奥杰之家
오크 캠프,半兽人营地
오킬루아의 눈,奥基鲁阿之眼
오펜실라,奥本西拉
오필리아 아이넬,奥贝利亚·艾奈尔
온,欧恩
올룬의 계곡,奥伦的峡谷
올비아 마을,奥尔比亚村
올비아 해안,奥尔比亚海岸
올시아 비아노,奥西亚·比亚诺
와라곤 동굴,沃拉坤洞穴
와라곤 둥지,沃拉坤巢穴
왕의 숲,王之森林
외지인,外地人
요난나,约南娜
요루,约鲁
요르티나,约勒提那
요정,妖精
요히나,约希纳
우그,乌格
우쥬,宇昼
울라간,蔚拉崁
울란,蔚兰
울림의 땅,回音之地
움테르,庸泰勒
워리어,战士
웨이타 섬,维亦塔岛
웨일 농장,维利尔农场
위니 산장,沃尼山庄
위르겐,威勒坎
유르 해역,佑路海域
율라간,律拉坎
율라스,律拉斯
율라시스,律拉希斯
은둔의 숲,隐居之森
은둔자,隐居者
이름을 잃은 단죄자,失去名字的断罪者
이메라치,伊梅菈兹
이베로 절벽,伊贝罗绝壁
이벨랍 오아시스,伊培拉绿洲
이빨요정 다락집,牙齿妖精阁楼
이빨요정 산림,牙齿妖精山林
이슈르,依苏勒
이아나로스의 들,尹阿那鲁斯田地
이자벨,伊莎贝
인버넨 섬,茵巴嫩岛
인비쉬,因比西
일꾼,佣工
일레즈라,伊蕾兹拉
일리야섬,伊利亚岛
일리치,伊利吉
임프 동굴,魔精洞穴
잊혀진 관문,被遗忘的关口
자감 섬,查卡姆岛
자렛,珍娜
자르갈,查勒卡尔
자비에 로딘,茨比艾·洛丁
자야,资雅
장루이스,章·刘易斯
재스퍼,杰斯佛
잿빛 숲,灰色森林
전진 기지 보급항,前哨站补给港
제라키,洁拉齐
제럴드,杰罗尔德
조르그,曹乐格
조르다인,祖尔达因
조르다인 아빠,祖尔达因父亲
조르다인 엄마,祖尔达因母亲
조르쥬아,祖尔纣雅
주비오,朱比奥
죽은달 초소,冥月岗哨
죽음의 순례로,冥界之巡礼路
중립지대 계곡 사잇길,中立地带山谷岔路
중부 경비 캠프,中部警备营
중부 나가 습지,中部纳迦沼泽
중부 중립 지역,中部中立地区
쥬키,朱齐
즈바야,兹巴亚
지아닌 농장,基亚尼农场
지워진 산,遗忘之山
지혜의 고목,智慧古树
진버레이 섬,金伯雷岛
채굴장 사잇길,采矿场岔路
체르크,杰洛可
체르피,伽勒比
체이비오,切伊比奥
체체그,杰杰戈
초소병사,岗哨士兵
초승달 산맥,新月山脉
초승달 신전,新月神祭之殿
추출장,提取场
축복의 오아시스,祝福的绿洲
치델르 마야,契戴勒·玛雅
치카오,奇卡奥
치쿵루,齐葛努
카닐라 델카스,卡尼拉·德卡斯
카두일 숲,卡杜伊尔森林
카드리 폐허,卡德里废墟
카란다 능선,卡岚达山脊
카르틸탄크타,卡勒蒂坦塔
카르프라,卡勒普拉
카마실브 사원,卡玛希弗寺庙
카마실비아,卡玛希比亚
카마실비아 남부,卡玛希比亚南部
카마실비아 진입로,卡玛希比亚入口
카술라 농장,卡苏拉农场
카슈마 섬,卡苏麻岛
카스타 농장,卡斯塔农场
카이아 호수,卡亚之湖
카일라,卡伊拉
카즈말,卡兹马尔
카지오,卡基奥
카츠바리악,卡西巴里亚
카치누,卡其努
카포티아,卡普缇亚
카프라스,卡普拉斯
카프라스 동굴,卡普拉斯洞穴
칸,肯恩
칸베라 섬,肯贝拉岛
칸사르,坎莎乐
칸시아,肯西亚
칸투리아,坎图利亚
칸투사 사막,肯杜斯沙漠
칸투사 중부,肯杜斯中部
칼날협로,刀刃狭路
칼리스 광장,卡尔里斯广场
칼리차,卡尔利查
칼크 협곡,柯尔克峡谷
칼페온,卡尔佩恩
칼페온 빈민가,卡尔佩恩贫民街
칼페온 성,卡尔佩恩城
칼페온 성터,卡尔佩恩城址
칼페온 시장,卡尔佩恩市场
칼페온 평원,卡尔佩恩平原
캉캉,康康
캐롤리아,卡洛利亚
캐샤오,凯莎奥
케베르닐,凯贝勒尼尔
케샤루,凯莎璐
케플란,凯波岚
케플란 길목,凯波岚路口
케플란 언덕,凯波岚丘陵
케플란 채굴장,凯波岚采矿场
켈로스,凯尔罗斯
코뇬,科纽
코멜,克莓尔
코스타 농장,克斯达农场
코헨 농장,克禾恩农场
콘보티,坤布堤
콜듀르,蔻尔杜勒
쿠니드의 쉼터,库尼特的休息处
쿠루토 동굴,柯鲁德洞穴
쿠리쿠리,库里库里
쿠베른,库贝恩
쿠샤 마을,克沙村
쿠이트 제도,库伊特群岛
쿤비쉬,坤比西
쿨란,克尔蓝
큐리오,圭里奥
크라힘,克拉力
크레오메,克雷欧梅
크로그달로의 자취,克罗格达鲁的踪迹
크론성,克罗恩城
크론성터,克罗恩城址
크루시오 도몬가트,克鲁西奥·多蒙卡特
크리오 마을,柯里奥村
크리오니아,柯里奥尼亚
크마흐 협곡,柯玛赫峡谷
키슬리브 암석지대,吉斯里波岩石地带
키아푸라,齐亚普拉
키에나,齐叶娜
키쿠,奇库
킨디르,肯蒂勒
타라무라 섬,塔拉穆拉岛
타락의 전령,堕落的信使
타리프 마을,塔利普村
타링,塔琳
타마 난나,泰玛·兰娜
타미르,塔米乐
타발레코,塔瓦莱科
타부다이,塔布达依
타슈 섬,塔苏岛
타즈랄,塔兹拉尔
타트 바위 삼거리,塔特岩石三岔路
타프타르 평야,塔普塔鲁平原
탈리바르의 끈,塔利巴鲁之线
테르미안 산기슭,泰勒米安山脚
테르미안 절벽,泰勒米安绝壁
테르세오,泰勒赛奥
테무진,铁木真
테물렌,铁慕伦
테스테 섬,泰丝特岛
테시빈,泰希宾
테야말 섬,泰亚莫岛
테프오,特普奥
토골도르,托葛道勒
토끼발,飞毛腿
토드로,托德鲁
토리,托里
토마,图玛
토모르,托莫勒
토바레 오두막,托巴雷小木屋
토비아스,托比亚斯
토스카니 농장,托斯卡尼农场
통가,恫加
투구족 주둔지,甲胄族营地
투히칸,图西坎
툰 베르됭,图恩·贝勒登
툰그라드 숲,特恩拉德森林
툰크타,屯克塔
툴가,图尔加
툴루 섬,土路岛
툴리드,托利德
튀르겐,兑勒肯
트레바,特勒帕
트렌트 마을,特兰特村
트롤 방어기지,巨魔防御基地
트리나 봉화대,特里纳烽火台
트리나 요새,特里纳要塞
트리샤,特里莎
트쉬라 폐허,图须拉废墟
티그리스 섬,堤葛黎史岛
티디오,提迪奥
티시야,媞希雅
티투,媞图
티티움 계곡,狄狄恩溪谷
틴베라 섬,庭贝拉岛
파니슈,帕尼苏
파도의 쉼터,波涛休息处
파디오,帕迪奥
파딕스 섬,皮尼斯岛
파라타마 섬,帕拉塔岛
파리안,帕瑞安
파비안,巴菲安
파쿠오,帕库奥
파키오,法奇奥
파트리지오,帕吉欧
파푸라오라,帕普拉欧拉
파푸아크리니,帕普阿克拉尼
팔라시오,法拉西奥
팔르스 소농장,帕勒斯牛农场
팔리르비나,帕里勒比娜
팔코니,帕尔寇尼
페넬나,佩奈娜
페루지아,裴鲁智亚
펜투아,梵图亚
폐 나루터,废弃渡口
폐성터,废弃城址
폐채굴장,废弃采矿场
폐철광산,废弃矿山
폐철광산 입구,废弃矿山入口
폐허도시 룬,废墟都市伦
포니엘 산장,菲尼尔山庄
포니엘 산장 입구,菲尼尔山庄入口
포르타넨 섬,普勒泰南岛
포비오스,波比欧斯
포와로,波瓦罗
포키오,波奇奥
포할람 농장,普哈蓝农场
폴로라,波罗拉
폴리숲,波黎之森
푸라니,普拉利
푸라리,普拉莉
푸르닐,普勒尼
푸른 사마귀,绿螳螂
푸스카오,普斯卡奥
푸자라 섬,普佳拉岛
푸지야 협곡,普基耶峡谷
푸타우,普榻乌
푸파,普帕
프라누오,普拉努奥
프라오,普拉奥
프라와,普拉沃
프란시스,弗朗西斯
프란시아,普林西雅
프레비스,普勒比思
프레하라우,波雷哈拉欧
프렌실라,芙伦希拉
프렌쿠,佛伦库
프루토,普洛托
프리코,普利柯
프리하,普利荷
프케라,普凯拉
플레메 언덕,波雷麦丘陵
플로렌스,芙洛琳司
플로린 관문,弗洛林关口
플로린 마을,弗洛林村
플로키,佛洛齐
플롱도르 호숫가,普朗多尔湖畔
피아자 농장 폐허,皮亚佳农场废墟
피오르,皮欧勒
피케오,皮伽奥
피타,毕塔
피핏,比毕
핀,彬茵
핀토 농장,品特农场
필,菲尔
필라 쿠 감옥,匹拉·酷监狱
필라 페,匹拉·费
필바라 섬,珀尔巴拉岛
핏빛 수도원,赤红修行院
하둠,赫墩
하락의 쉼터,哈尔鲁的休息处
하란,哈兰
하비오,哈比奥
하스라 절벽,哈斯拉绝壁
하싱,荷辛
하야 페더러스,哈亚·佩德洛斯
하얀 개구리,白青蛙
하이델 길머리,海地尔路口
하이델 북부 고원,海地尔北部高原
하이델 북부 채석장,海地尔北部采石场
하이델 성,海地尔城
하코번 섬,哈科班岛
할리오닐,哈里欧尼
할마드 섬,赫玛德岛
해안 동굴,海岸洞穴
해안 절벽,海岸绝壁
해적 연합,海贼联盟
헤라드 롬슨,赫拉德·隆森
헤라치오,赫拉齐欧
헤롤드,亥洛尔德
헥세 돌담,赫赛石墙
헥세 성역,赫赛圣域
헬레린스 자나,赫莱林斯·詹娜
헬렌 쥴리아,海伦·茱莉亚
헬론,亥伦
혈전의 백사장,血战沙滩
호니아,胡尼亚
호르헤,豪勒晖
혼티,赫特
홀로 숲,霍洛之森
후안,厚安
훈비쉬,逊比西
흑정령,黑精灵
흑정령에 씌인 다후만,被黑精灵附身的达胡曼
희망나루,希望渡口
흰가지나무 숲,白树枝树森林
히루피스,喜橹毕斯
히리바,希里巴
히무트 벌목장,西姆特伐木场
히술라나,希瑟拉那
히스트리아 폐허,赫斯特里亚废墟
히즈낙,希兹纳克
히카,西卡
힉스,希克斯
힐다,希尔达
